date,Arabian Sea heatwave_share,Arabian Sea deep_share_of_heatwave,Bay of Bengal heatwave_share,Bay of Bengal deep_share_of_heatwave
2023-01-25,0.0006143449546920596,1.0,0.018646904135787713,0.8974358974358975
2023-01-26,0.0009161704076958314,0.6666666666666666,0.025942829690127314,0.8333333333333334
2023-01-27,0.0,0.0,0.05396902226524685,0.8071748878923767
2023-01-28,0.0,0.0,0.04502541757443718,0.8118279569892473
2023-01-29,0.0,0.0,0.06411807403822889,0.8339622641509434
2023-01-30,0.0,0.0,0.055689488910318226,0.8138528138528138
2023-01-31,0.0,0.0,0.07439613526570048,0.801948051948052
2023-02-01,0.0,0.0,0.08731307284129282,0.7651933701657458
2023-02-02,0.0,0.0,0.07419898819561552,0.7532467532467533
2023-02-03,0.0001522533495736906,0.0,0.08481927710843373,0.7443181818181818
2023-02-04,0.0001518372304889159,0.0,0.037776708373435997,0.7133757961783439
2023-02-05,0.0,0.0,0.023843586075345733,0.7
2023-02-06,0.0003026634382566586,0.5,0.018562589243217516,0.717948717948718
2023-02-07,0.008478425435276306,0.35714285714285715,0.012640114476508467,0.660377358490566
2023-02-08,0.03489257961298187,0.5065502183406113,0.007387988560533841,0.7419354838709677
2023-02-09,0.04495912806539509,0.5656565656565656,0.008577555396711936,0.6944444444444444
2023-02-10,0.027084279013466484,0.5865921787709497,0.012643129770992367,0.6792452830188679
2023-02-11,0.01059001512859304,0.5142857142857142,0.013655965500718735,0.7894736842105263
2023-02-12,0.005295808745649872,0.22857142857142856,0.015714285714285715,0.803030303030303
2023-02-13,0.003934029353911333,0.3076923076923077,0.011458582000477441,0.8333333333333334
2023-02-14,0.001967312348668281,0.3076923076923077,0.014523809523809524,0.8360655737704918
2023-02-15,0.004842615012106538,0.875,0.005946717411988582,0.6
2023-02-16,0.01711084191399152,0.504424778761062,0.013311148086522463,0.4642857142857143
2023-02-17,0.024988641526578828,0.21212121212121213,0.034745359352689194,0.636986301369863
2023-02-18,0.03106060606060606,0.22926829268292684,0.022829964328180737,0.625
2023-02-19,0.03685653365823942,0.23140495867768596,0.017844396859386154,0.7066666666666667
2023-02-20,0.021435086652477956,0.3191489361702128,0.05441527446300716,0.6973684210526315
2023-02-21,0.021725919173503496,0.1958041958041958,0.04059216809933142,0.6588235294117647
2023-02-22,0.018953752843062926,0.16,0.02843488649940263,0.6470588235294118
2023-02-23,0.014255383682135275,0.2553191489361702,0.008108752683043167,0.7352941176470589
2023-02-24,0.014846235418875928,0.22448979591836735,0.014275517487508922,0.6833333333333333
2023-02-25,0.019860521528198907,0.05343511450381679,0.026775041836002867,0.7767857142857143
2023-02-26,0.0444275966641395,0.11262798634812286,0.05552873008208595,0.7739130434782608
2023-02-27,0.05656934306569343,0.1989247311827957,0.04341534008683068,0.8166666666666667
2023-02-28,0.08338423946243127,0.2032967032967033,0.024934068568688565,0.9711538461538461
2023-03-01,0.09868421052631579,0.22015503875968992,0.013397129186602871,1.0
2023-03-02,0.08622534780614585,0.22695035460992907,0.009128032668748499,0.8947368421052632
2023-03-03,0.07599017500767577,0.27070707070707073,0.013500482160077145,0.9107142857142857
2023-03-04,0.05339880313027467,0.3563218390804598,0.004329004329004329,0.8333333333333334
2023-03-05,0.09149102263856362,0.4539249146757679,0.010612638687891944,0.9090909090909091
2023-03-06,0.13542642924086223,0.37946943483275664,0.019763798505664017,0.9146341463414634
2023-03-07,0.1372579637726421,0.38680318543799774,0.010321651464234277,0.9534883720930233
2023-03-08,0.0890889337265249,0.4337979094076655,0.004525964745116722,0.8947368421052632
2023-03-09,0.1076037941222205,0.434971098265896,0.005250596658711217,1.0
2023-03-10,0.1285423516517927,0.43605359317904996,0.005968011458582,0.92
2023-03-11,0.1293291731669267,0.4451145958986731,0.006665079742918353,0.9285714285714286
2023-03-12,0.13719701678060908,0.43827859569648925,0.0028523888756833847,0.75
2023-03-13,0.16436013061732235,0.3859981078524125,0.007619047619047619,0.6875
2023-03-14,0.2533104844991432,0.3025830258302583,0.013571428571428571,0.5263157894736842
2023-03-15,0.20854192740926158,0.3353338334583646,0.0064209274673008325,0.6296296296296297
2023-03-16,0.19343908824888342,0.34554140127388533,0.004994054696789536,0.8095238095238095
2023-03-17,0.31623667542097944,0.27357107962872496,0.008341277407054338,0.6285714285714286
2023-03-18,0.24729854893485645,0.3146067415730337,0.018849916487711765,0.6455696202531646
2023-03-19,0.2275872674150392,0.3533783783783784,0.014818355640535373,0.5161290322580645
2023-03-20,0.18255547054322876,0.41743503772003354,0.006427041180671268,0.6666666666666666
2023-03-21,0.12386521003231267,0.4658385093167702,0.01616353696220585,0.9705882352941176
2023-03-22,0.11250190810563272,0.373134328358209,0.016876634181126695,0.49295774647887325
2023-03-23,0.1225482742891896,0.303970223325062,0.015937202664129402,0.5522388059701493
2023-03-24,0.1544986367767343,0.29411764705882354,0.03472882968601332,0.5136986301369864
2023-03-25,0.11326468806783767,0.31016042780748665,0.039229671897289584,0.593939393939394
2023-03-26,0.07368739597518535,0.33675564681724846,0.039220347040646544,0.5515151515151515
2023-03-27,0.06505295007564296,0.34418604651162793,0.024958402662229616,0.5904761904761905
2023-03-28,0.08653555219364599,0.3129370629370629,0.020917518421678154,0.6931818181818182
2023-03-29,0.13162677976370796,0.24510932105868816,0.01595618004286735,0.7313432835820896
2023-03-30,0.1740712661106899,0.289198606271777,0.01951916210426089,0.6097560975609756
2023-03-31,0.22977885489245684,0.3197099538562953,0.020471316353249225,0.627906976744186
2023-04-01,0.2249962172794674,0.3201075991930061,0.016888677450047573,0.6338028169014085
2023-04-02,0.24319007263922518,0.3260734287492221,0.02210601378654623,0.6881720430107527
2023-04-03,0.24019978810352657,0.33648393194706994,0.027110582639714626,0.49122807017543857
2023-04-04,0.2156595486899894,0.3335674157303371,0.008321445553970519,0.34285714285714286
2023-04-05,0.18510670500983806,0.26573998364677026,0.006186057577920533,0.23076923076923078
2023-04-06,0.15786287271076133,0.23585810162991372,0.01120915812067732,0.425531914893617
2023-04-07,0.13542139506733242,0.25027932960893856,0.011505273250239693,0.5416666666666666
