platform_number,cycle_number,latitude,longitude,date,n_levels,temp_0m,temp_5m,temp_10m,temp_20m,temp_30m,temp_50m,temp_75m,temp_100m,temp_125m,temp_150m,temp_200m,temp_300m,temp_500m,temp_700m,temp_1000m
2902118,250,13.177456666666666,66.67286,2021-01-01 00:00:00+00:00,137,,,27.729733333333332,27.655936170212765,27.592636363636363,26.576999999999998,23.92091489361702,21.81516,19.447708333333335,17.395020833333334,15.276845070422535,13.070776699029127,11.576666666666666,10.036380487804879,7.969053571428571
2902259,106,12.816,65.254,2021-01-01 00:00:00+00:00,100,,27.011,27.01,27.012999999999998,27.015818181818183,27.021,25.465,23.057499999999997,20.286,18.3582,15.595666666666666,12.82672,11.363439999999999,10.22284,7.987080000000001
2902268,71,15.992,62.551,2021-01-01 00:00:00+00:00,98,,25.225,25.228,25.233272727272727,25.2368,25.244799999999998,22.259,21.1262,19.901454545454545,18.4234,17.214764705882352,15.1072,12.401720000000001,10.80592,8.640041666666667
2902277,60,18.807798,68.37236,2021-01-01 00:00:00+00:00,996,,25.735260479041916,25.73443415841584,25.7369,25.7261698019802,25.611261306532665,21.870995049504952,20.990554,20.758782653061225,19.464470297029703,16.776311000000003,14.6765,12.850533990147783,11.1496,8.801497999999999
2902283,117,15.21,87.788,2021-01-01 00:00:00+00:00,99,,27.356,27.363333333333333,27.374,27.3975,27.4412,25.4,22.704454545454546,19.858,17.78177777777778,14.17225,12.03044,10.082040000000001,8.56,6.71464
2902388,192,10.47663,62.94091,2021-01-01 00:00:00+00:00,937,,27.224,27.226,27.229,27.229,23.420117647058824,20.994500000000002,18.848,17.7238,16.148509433962264,13.970145833333332,12.461,11.028,9.607,7.852
2902389,192,11.57111,64.61373,2021-01-01 00:00:00+00:00,507,,27.739240000000002,27.744,27.749846153846153,27.752,27.751115384615385,24.169,22.325692307692307,18.7974,16.98,14.281,12.744941176470588,11.423,10.136980392156863,8.239
2902393,191,11.31598,69.39324,2021-01-01 00:00:00+00:00,516,,28.33896,28.341,28.344,28.346,28.350240000000003,24.71952,21.20988235294118,17.624708333333334,15.948,14.157549019607842,12.389192307692307,11.139,10.035,8.264399999999998
6902943,294,13.16964,63.41695833333333,2021-01-01 00:00:00+00:00,908,,26.675,26.6736,26.676,26.6818,26.676,23.486,21.796,20.0401,18.067,15.742333333333335,13.6516,11.6185,10.632,8.4155
6902948,274,16.794806666666666,54.35472,2021-01-01 00:00:00+00:00,493,,25.451,25.4418,25.378,25.358600000000003,25.332,25.33581818181818,25.3188,23.763500000000004,21.7624,18.038,15.235999999999999,13.015166666666667,12.011260869565216,
1901897,96,13.1401,57.3608,2021-01-02 00:00:00+00:00,54,,,,,26.564160714285716,26.53790291262136,25.686400000000003,22.567773913043478,20.889099009900992,18.13414285714286,15.536113402061854,13.84675159235669,11.792519114688128,10.831,8.731763052208835
2901897,240,8.2393,71.8027,2021-01-02 00:00:00+00:00,350,,29.299,29.284,29.282,29.284,29.31427272727273,28.781,26.151,21.764,19.032047619047617,15.5765,13.022947368421052,10.8325,9.04880162601626,7.0688125
2902120,250,14.604208333333334,68.589685,2021-01-02 00:00:00+00:00,137,,,27.919275862068964,27.90326530612245,27.814980392156862,27.72492,23.944499999999998,22.003941176470587,19.930686274509803,17.570076923076922,15.294616438356165,13.032615384615385,11.85579617834395,10.69309900990099,8.538775
2902260,106,11.821,72.405,2021-01-02 00:00:00+00:00,92,,28.804,29.19,29.180777777777777,29.1355,28.89,27.678818181818183,23.94709090909091,19.546,17.616,15.041833333333333,12.971639999999999,11.53692,10.16516,8.09364
2902261,106,13.506,69.524,2021-01-02 00:00:00+00:00,96,,28.353,28.354,28.354666666666667,28.30390909090909,25.6565,22.3403,19.401799999999998,17.4762,15.9785,14.213833333333334,12.74508,11.58772,10.43588,8.55876
2902262,106,11.506,61.31,2021-01-02 00:00:00+00:00,97,,26.242,26.257,26.26390909090909,26.2662,26.275,24.7272,21.3202,18.883,16.8976,14.736,13.273153846153846,11.68216,10.63132,7.97608
2902766,34,14.653,90.707,2021-01-02 00:00:00+00:00,102,,28.161461538461538,28.148898305084746,28.151659793814435,28.184831683168316,28.23258823529412,27.688669902912622,24.947260869565216,21.57243396226415,18.658277227722774,15.137749999999999,12.061983805668016,9.976915662650603,8.526577689243027,6.563253968253968
2902852,20,8.479,86.372,2021-01-02 00:00:00+00:00,114,,28.572936170212767,28.583622641509432,28.583704545454545,28.585367346938778,29.043866666666666,25.345000000000002,22.805672566371683,20.381,18.649565217391306,15.610659090909092,12.056133333333333,9.981395604395605,8.707433497536945,6.75267027027027
2903135,127,6.37013,86.10868,2021-01-02 00:00:00+00:00,1150,,28.491,28.563,28.710160000000002,28.734080000000002,28.773,27.823615384615383,24.425,21.624,18.846653846153846,14.372,12.318,10.037,8.592,6.687
2901860,272,11.517,53.471,2021-01-03 00:00:00+00:00,997,,25.833,25.836,25.833,25.852,25.869,25.8445,21.293,18.532,16.311,15.238,12.194,11.333,10.956,8.921
2901898,237,9.7195,91.0202,2021-01-03 00:00:00+00:00,351,,28.692,28.672,28.66,28.651,28.848,28.921,27.661,24.177,21.261,17.784,12.387,9.915500000000002,8.49415633802817,6.597698403193613
2902199,229,15.44,67.485,2021-01-03 00:00:00+00:00,997,,26.5945,26.591,26.565,26.553,26.573,23.480842105263157,22.28,19.759,17.967,16.37,13.411,11.733,10.491,8.386
2902235,352,10.966666666666669,90.78333333333332,2021-01-03 00:00:00+00:00,267,,28.48825,28.491166666666665,28.489333333333335,28.494909090909093,28.298222222222222,27.671,25.387700000000002,21.71816666666667,19.856,15.374,12.318863813229573,9.936325490196078,8.49281124497992,6.397908366533865
2902271,62,16.626066,69.636597,2021-01-03 00:00:00+00:00,993,,27.411863636363638,27.41921553398058,27.4195505,27.4150875,25.892467464114834,23.689825888324872,22.732862189054725,20.086215270935963,18.271257575757573,15.2395,13.247875369458129,11.7091,10.776260696517413,8.577904020100503
2902276,61,20.348724,66.577721,2021-01-03 00:00:00+00:00,996,,24.789293846153846,24.7964,24.802111,24.805194029850746,24.81517014925373,24.95063888888889,23.52050447761194,22.55029207920792,20.061049756097564,17.396061306532662,14.728814,12.919512871287129,11.236664824120604,8.885678787878788
2902391,192,13.59129,59.53008,2021-01-03 00:00:00+00:00,513,,25.086041666666667,25.087,25.093,25.08006,24.893,19.17724,17.7561,17.1715,16.07188,15.232,13.697,12.338346153846153,10.939333333333334,8.56678431372549
