latitude,longitude,date,platform_number,cycle_number,day_idx,lat_idx,lon_idx,pred_0m,pred_5m,pred_10m,pred_20m,pred_30m,pred_50m,pred_75m,pred_100m,pred_125m,pred_150m,pred_200m,pred_300m,pred_500m,pred_700m,pred_1000m,glorys_0m,glorys_5m,glorys_10m,glorys_20m,glorys_30m,glorys_50m,glorys_75m,glorys_100m,glorys_125m,glorys_150m,glorys_200m,glorys_300m,glorys_500m,glorys_700m,glorys_1000m,true_0m,true_5m,true_10m,true_20m,true_30m,true_50m,true_75m,true_100m,true_125m,true_150m,true_200m,true_300m,true_500m,true_700m,true_1000m
13.1401,57.3608,2021-01-02,1901897,96,4019,33,49,26.164389,26.180443,26.184769,26.203573,26.242409,25.759535,23.50396,22.147007,18.940453,17.389875,16.054043,13.397433,11.714526,11.210934,9.263545,25.225471,25.22474,25.22474,25.22474,25.22474,25.194708,20.537096,19.202581,17.244026,16.26841,15.226874,13.434584,11.961638,11.511185,8.97766,,,,,26.56416071428572,26.53790291262136,25.686400000000003,22.56777391304348,20.889099009900992,18.13414285714286,15.536113402061854,13.84675159235669,11.792519114688128,10.831,8.731763052208835
8.2393,71.8027,2021-01-02,2901897,240,4019,13,107,29.141891,29.082035,29.102371,29.181393,29.276772,29.229887,28.138052,26.820004,21.61557,18.673872,16.221672,12.468771,10.654862,9.698864,7.8657765,29.140385,29.101566,29.114017,29.391613,29.370373,29.376232,28.70165,27.721642,22.613575,19.505814,16.222267,12.859615,10.65569,10.186193,8.399762,,29.299,29.284,29.282,29.284,29.31427272727273,28.781,26.151,21.764,19.032047619047617,15.5765,13.022947368421052,10.8325,9.04880162601626,7.0688125
14.604208333333334,68.589685,2021-01-02,2902120,250,4019,38,94,27.7042,27.704628,27.702965,27.720737,27.778374,27.439157,24.729439,23.21662,19.638584,17.670252,16.048283,13.00122,11.541989,10.829796,8.872422,27.79342,27.792688,27.792688,27.789759,27.798548,27.397167,24.202978,22.863338,19.236275,17.602192,16.023773,13.047853,11.597613,10.895932,8.967406,,,27.919275862068964,27.90326530612245,27.814980392156865,27.72492,23.9445,22.003941176470587,19.930686274509803,17.570076923076922,15.294616438356163,13.032615384615385,11.85579617834395,10.69309900990099,8.538775
11.821,72.405,2021-01-02,2902260,106,4019,27,110,29.065401,29.013016,29.033628,29.107098,29.219189,29.106274,27.69542,26.222471,21.430874,18.936377,16.793745,12.945447,11.255964,10.357958,8.447598,28.772697,28.688467,28.906736,29.015137,29.09937,28.702383,25.37489,23.168768,21.383068,19.70284,17.153202,13.047853,11.215278,10.59563,8.941771,,28.804,29.19,29.180777777777777,29.1355,28.89,27.678818181818183,23.94709090909091,19.546,17.616,15.041833333333331,12.97164,11.53692,10.16516,8.09364
13.506,69.524,2021-01-02,2902261,106,4019,34,98,28.319143,28.309904,28.305094,28.312405,28.338495,27.81101,24.660292,22.764555,18.697649,16.886774,15.441237,12.733527,11.338596,10.6452055,8.731005,28.391827,28.385235,28.37791,28.367657,28.361797,27.200872,23.507156,21.774925,18.465742,16.745232,15.424635,12.375469,11.121525,10.455001,9.270638,,28.353,28.354,28.354666666666667,28.30390909090909,25.6565,22.3403,19.4018,17.4762,15.9785,14.213833333333334,12.74508,11.58772,10.43588,8.55876
11.506,61.31,2021-01-02,2902262,106,4019,26,65,26.43349,26.453573,26.44713,26.447994,26.511795,26.370224,24.604588,23.4357,19.90379,17.785254,15.980209,12.672329,11.266969,10.647227,8.966558,26.393719,26.393719,26.392986,26.390789,26.387127,26.38493,23.140202,21.841578,18.917662,17.49379,16.135838,12.773919,11.692099,10.96112,9.01941,,26.242,26.257,26.26390909090909,26.2662,26.275,24.7272,21.3202,18.883,16.8976,14.736,13.273153846153846,11.68216,10.63132,7.97608
14.653,90.707,2021-01-02,2902766,34,4019,39,183,27.758156,27.775457,27.83067,28.081306,28.544657,28.938368,27.914692,26.449257,21.570498,18.593214,15.933107,11.5665865,9.61447,8.847609,7.1854515,28.092989,28.092257,28.091524,28.092257,28.122288,28.477524,27.32319,25.60268,20.797113,18.001373,15.692709,11.577105,9.669087,8.856074,7.139958,,28.161461538461538,28.148898305084742,28.151659793814435,28.18483168316832,28.23258823529412,27.688669902912626,24.947260869565216,21.57243396226415,18.65827722772277,15.13775,12.061983805668016,9.976915662650605,8.526577689243027,6.563253968253968
8.479,86.372,2021-01-02,2902852,20,4019,14,165,28.489655,28.48344,28.482182,28.503424,28.532812,28.486736,27.308685,26.061798,21.046047,18.152903,15.708206,11.699136,9.683634,8.87699,7.204272,28.563951,28.558825,28.550035,28.540514,28.540514,28.571276,27.13715,25.836329,21.270271,17.969147,15.650228,12.152074,10.050692,9.056765,7.0711083,,28.572936170212767,28.583622641509432,28.583704545454545,28.585367346938774,29.043866666666663,25.345,22.805672566371683,20.381,18.649565217391302,15.610659090909092,12.056133333333332,9.981395604395605,8.707433497536945,6.75267027027027
6.37013,86.10868,2021-01-02,2903135,127,4019,5,164,28.790455,28.76622,28.765556,28.790815,28.860605,28.952372,28.236977,27.112137,21.386791,17.888563,15.35701,11.754905,9.798045,8.956499,7.1699724,28.74633,28.722893,28.715567,28.78808,28.958006,28.586657,27.093937,26.391521,22.139683,18.335367,16.06479,11.502396,9.768701,9.127811,7.172918,,28.491,28.563,28.71016,28.73408,28.773,27.823615384615383,24.425,21.624,18.84665384615385,14.372,12.318,10.037,8.592,6.687
11.517,53.471,2021-01-03,2901860,272,4020,26,34,25.741016,25.7469,25.744719,25.728863,25.680674,25.189175,23.304733,22.000128,18.867523,17.310495,15.765726,13.160183,11.706759,11.198199,9.479001,25.993805,25.993073,25.99234,25.987946,25.982819,25.982086,23.522537,22.212927,18.351482,16.97522,15.900723,13.389172,12.6245,12.121311,9.649312,,25.833,25.836,25.833,25.852,25.869,25.8445,21.293,18.532,16.311,15.238,12.194,11.333,10.956,8.921
